id,name,location,category,priceRange,isFavorite,lat,lng,googleMapUrl
39,同樂町 炭燒酒場-三峽特色居酒屋|必去居酒屋|推薦串燒|日本料理推薦|道地日式料理|必吃居酒屋|日式美食推薦,三樹路308號,飲料,$$,FALSE,24.9439622,121.3811966,https://www.google.com/maps/place/?q=place_id:ChIJ65LRyXUcaDQREHAWgQQP41w
40,【号鳥食趣義大利洋食 X 烤泡芙專賣】三峽餐廳 三峽美食 三峽泡芙 三峽義大利麵 三峽甜點 三峽老街美食 北大美食,大觀路7號,大眾,$$,FALSE,24.9437156,121.375654,https://www.google.com/maps/place/?q=place_id:ChIJizDnYjQbaDQRMkfv9_FtTI8
41,小地方餐廳,學勤路292號1樓,大眾,$$,FALSE,24.947156,121.3786372,https://www.google.com/maps/place/?q=place_id:ChIJnxV-uHQcaDQRTuIf_-PVtIM
42,韓燒 銅盤烤肉,大學路86-2號,大眾,$,FALSE,24.942533,121.3758276,https://www.google.com/maps/place/?q=place_id:ChIJn8hsJyQbaDQRnF7nqb17ZIU
43,晴光廚房,大同路206-1號,大眾,$$,FALSE,24.927014,121.3674573,https://www.google.com/maps/place/?q=place_id:ChIJbV558egbaDQROwhoUGQal18
44,NU PASTA 樹林北大店,佳園路三段168號,大眾,$$,FALSE,24.9491283,121.3852429,https://www.google.com/maps/place/?q=place_id:ChIJ9_dpAHEcaDQRW0L3_uVr7rE
45,東道飲食亭,仁愛街7號,大眾,$,FALSE,24.934072,121.3685259,https://www.google.com/maps/place/?q=place_id:ChIJK6QlK-4baDQRLEMNGd26des
46,喙蘴號 | 三峽老虎麵 三峽美食 巷弄在地美食 宅配美食 乾拌麵 雙醬麵 紅油水餃,光明路100之4號,大眾,$,FALSE,24.9280831,121.3759625,https://www.google.com/maps/place/?q=place_id:ChIJUWPvvdUbaDQRLTWvQt_xyWg
47,旭飛酒場居酒屋 (請pm17:00後在致電),學成路287號,大眾,$,FALSE,24.9435463,121.3761109,https://www.google.com/maps/place/?q=place_id:ChIJl8sW4LYdaDQRpl_7Ng7sJG0
48,卡爾穀倉 美式餐廳 早午餐/德州烤肉/漢堡/酒吧,復興路36-3號,飲料,$,FALSE,24.936477,121.374236,https://www.google.com/maps/place/?q=place_id:ChIJjXHXiOwbaDQRHhnzIAlger8
49,鼎豐懷舊客家美食,愛國路38號1樓,大眾,$,FALSE,24.9329268,121.3744796,https://www.google.com/maps/place/?q=place_id:ChIJFSeUgfIbaDQRxfgOQTlKA5A
50,滬苑小館,"No. 33號, 三樹路",大眾,$$,FALSE,24.9386193,121.3775716,https://www.google.com/maps/place/?q=place_id:ChIJK3SFFgscaDQR0uZzae8vUvw
51,元素蔬食坊,大同路104號,大眾,$,FALSE,24.9271005,121.3745155,https://www.google.com/maps/place/?q=place_id:ChIJu8JbeesbaDQRXh620-G8bTc
52,陳記特製涼麵,中山路8號,大眾,$,FALSE,24.9343719,121.3698778,https://www.google.com/maps/place/?q=place_id:ChIJ0WSI3fEbaDQRgUBxR0wta_A
53,老私房牛肉麵,國際一街66-1號1樓,大眾,$$,FALSE,24.942174,121.372488,https://www.google.com/maps/place/?q=place_id:ChIJQ7CJdSsbaDQRTkGJrup9U0g
54,堤諾義大利比薩 三峽北大門市,大義路258號,大眾,$$,FALSE,24.9465475,121.3778648,https://www.google.com/maps/place/?q=place_id:ChIJ6fSnvB8daDQRdb8nhrmxWqQ
55,初原麵場,長福街17號1樓,大眾,$$,FALSE,24.9337592,121.370562,https://www.google.com/maps/place/?q=place_id:ChIJ-ZOXaGMbaDQRJE8oOMIrEOM
56,璽恩軒蔬食,大學路71號1樓,大眾,$$,FALSE,24.9412811,121.3762602,https://www.google.com/maps/place/?q=place_id:ChIJJVPTg6obaDQR0M3sv5JhPEc
57,Burbar啵吧美式餐酒吧,國際二街21號,飲料,$,FALSE,24.9434983,121.3732098,https://www.google.com/maps/place/?q=place_id:ChIJS0bicJ4daDQRHDVtSvaFKu0
58,客家美食主藝餐廳,隆恩街239號新北市客家文化園區,大眾,$$,FALSE,24.9420517,121.3604049,https://www.google.com/maps/place/?q=place_id:ChIJH8Xjqv4baDQRbCGTkhKPx9k
59,Dee Thai Kitchen 泰廚房【北大店】,大雅路55號,大眾,$$,FALSE,24.9451958,121.3802586,https://www.google.com/maps/place/?q=place_id:ChIJ9aw6WnQcaDQRR1iE3hTqTuk
60,隨園麵食館,國際一街23-1號,大眾,$$,FALSE,24.9424382,121.3740074,https://www.google.com/maps/place/?q=place_id:ChIJWSwtvfUbaDQRrDmxwk16WFs
